pathway	K058683-R	K058684-R	K058685-R	K058686-R	K058687-R	K058688-R	K058689-R	K058690-R	K058691-R	K058692-R	K058693-R	K058694-R	K058695-R	K058696-R	K058697-R	K058698-R	K058699-R	K058700-R	K058701-R	K058702-R	K058703-R	K058704-R	K058705-R	K058706-R	K058707-R	K058708-R	K058709-R	K058710-R	K058711-R	K058712-R	K058713-R	K058714-R	K058715-R	K058716-R	K058717-R	K058718-R	K058720-R	K058721-R	K058722-R	K058723-R	K058725-R	K058726-R	K058727-R	K058728-R	K058729-R	K058730-R	K058731-R	K058732-R	K058778-R	K058779-R	K058780-R	K058781-R	K058782-R	K058783-R	K058784-R	K058785-R	K058786-R	K058787-R	K058788-R	K058789-R	K058790-R	K058791-R	K058792-R	K058793-R	K058794-R	K058795-R	K058796-R	K058797-R	K058798-R	K058799-R	K058800-R	K058802-R	K058803-R	K058804-R	K058805-R	K058806-R	K058807-R	K058808-R	K058809-R	K058810-R	K058811-R	K058812-R	K058813-R	K058814-R	K058815-R	K058816-R	K058817-R	K058818-R	K058819-R	K058820-R	K058821-R	K058822-R	K058823-R	K058824-R
PWY-7323	4353.66206674445	1287.1072085802425	1839.713938031836	1107.629704168748	1662.5671188167746	1555.0254225172876	2278.101186026238	530.9948319792192	295.6008949543094	1528.399670672846	1873.6149735078877	598.9461863237502	430.1179038228975	497.44999569173154	173.58649212645264	947.8633244826958	970.696323970313	602.3851589494741	732.9616185025051	1248.6930448481046	431.87203285526283	915.8299526093044	1258.6641214696383	4142.570349134084	88.89133405191606	193.2070335315085	1414.4011020313626	839.8973372101864	1241.0645087182954	733.1487584004377	1473.1678484528427	984.6283408568346	836.2344367314113	4909.813163346464	4682.259965177571	3395.157805726473	1411.9363443135683	5658.381124878566	2249.402129130934	4624.4061129655975	3316.5466679280244	3449.2738486560092	1251.1333467906238	3259.9357780997925	3003.765012413421	2580.428231432252	2423.209062929148	4237.607658742627	1909.2480185488646	2972.1893870669373	3551.3669022628187	6269.432361549808	3235.6221351203285	2121.3581340831074	4212.845005805669	283.6781597412068	1885.0668851850187	1745.4549671579948	4329.650646347124	2713.2530086091238	1285.4528870090508	3810.2366681292137	4038.437109819123	3567.7315752800064	5449.422700403467	3981.559888550135	432.00540949836045	2964.408498354371	1903.7064861165463	4561.469500136403	2344.8764078066583	4112.516628910138	7685.793444740929	2485.3025259550413	6831.4844692352135	1459.6321542703938	4027.9015924640826	2469.383139787416	6723.627779658788	682.9193083841077	2448.1553430293325	4407.293250082414	3280.715841271497	463.19120640311303	4659.5352595691675	3644.0641058729	5765.241321786214	2518.097366013292	4716.1655895450385	4411.35066318049	3105.460456245085	4839.08984984026	1876.3549257446468	584.0737939370947
PWY-7328	1080.8300934597842	775.9062515790343	528.4734291104925	814.2168045705624	629.1631244945668	373.0134960103597	133.18559254867617	0.0	322.74112610553	366.0945235770631	607.6006039914397	17.12893193479137	720.915543275355	738.1825608710757	164.51393581442127	7.83021221921005	1105.4570115461092	329.81693821813775	733.8227200931359	1089.5887840181472	319.90147629436376	372.9457734754758	648.8610102623352	1256.3779341224351	1284.0790020571862	174.84019231847105	770.9415660780472	89.90878966761811	670.9803658507961	546.4923229551694	194.74188940187577	441.1640703770502	368.9446986634537	972.3943567413397	825.7688208256543	489.86380483842305	276.1067951339648	1208.524383228709	427.30211286714746	1379.2684539540542	385.32604541900304	368.4675500150929	126.23846157821752	373.60181807314814	175.31683973021666	250.98060597561238	305.13532071635507	563.2620214857794	123.92885253118828	296.2106633420499	101.93988996625053	1256.2231017431975	437.83160299206565	311.4997881089954	159.52914275384592	180.66663887790799	176.1346476597595	250.51157725111065	601.7539179194516	824.8097346119074	56.13263699424238	1192.7858896639445	1705.5444486623394	1019.2511309374245	2094.8728581825917	880.3055364532161	192.25140587159822	886.5303901569081	618.3446827890037	1669.5296045470361	794.3637966759919	1341.648557465532	2841.532352188086	758.764199595821	2562.3269480674776	596.1963980829418	953.354444661772	906.3424454940928	2714.264168599606	130.61900292433663	1145.6609514732768	1422.8525502896323	938.3440658707655	86.00907482913313	1505.545800312263	1221.692078343098	1453.9544201746824	537.0018576569652	1720.169686150635	1544.4769080663314	773.430895750551	1473.6384190653514	533.6482208251957	83.97039561482788
PWY-7332	1398.356165764789	101.1500496285435	81.34442284121722	0.0	74.42001495311466	87.7844874512893	1138.3305941701956	0.0	0.0	213.91995036984213	433.0867623221305	0.0	600.4278850503582	0.0	0.0	1162.0637586792186	0.0	26.06360422219971	13.915884754528518	81.11080890169458	70.75166138827564	369.4062595033505	127.23273455182665	849.069372599759	0.0	0.0	522.8240030282989	663.8376583444468	178.76790463907847	0.0	152.05284071253746	572.2920898706737	0.0	1526.1811115965409	1593.6918198325534	1338.023561718227	258.17271333503163	1864.2377890458781	928.5688858263792	738.5727226663602	426.6665465539363	913.2806617708325	375.06238816131315	868.5224657041321	986.0763859274495	597.6534590049669	618.4492060902195	481.9607848931719	875.8320109368011	1598.7045926435508	735.338905711304	1527.520989046436	2169.7934978428234	337.02274905549683	1958.6462738407279	0.0	987.0102346831719	777.8707642759584	1140.003705426905	223.11837330121352	240.15630094548715	1054.032582353116	55.43991277911113	510.3539190459392	1291.103595140232	696.9013170454127	87.54273670910368	344.0580906143836	117.90453142779995	1249.3010846625673	68.81490919925275	1042.7461080358357	1333.22106338572	409.0476475162237	860.704383496986	325.3845501026009	780.7981314395063	133.90610893133848	1253.422622403675	260.0153311999198	454.154865596493	691.2839526765792	400.0223954201059	95.42023015407689	477.15965331084124	712.4316777619855	878.295956136868	250.40417811413008	984.1188059022609	803.5298656823878	95.58990365313201	569.0484471334368	278.8006796989048	0.0
PWY-7347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.667521948176514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.985911065357597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.42301425376426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7371	254.0	0.0	38.5	14.0	25.5	0.0	193.0	0.0	0.0	28.0	97.5	7.0	21.599999999999998	27.6	79.2	15.6	55.2	225.60000000000002	9.6	43.199999999999996	29.0	37.67	188.16460905349797	81.13360323886639	25.329999999999995	0.0	9.6	0.0	31.309090909090912	0.0	0.0	0.0	202.1710617626648	239.92592592592595	119.0	67.0	37.0	374.33	139.62735849056602	468.2073401132966	397.0	392.99999999999994	131.0	326.0	445.0	297.0	273.0	405.0	107.5	327.99999999999994	205.73163418290855	594.0	257.97018633540375	228.66935483870967	329.5818005808325	9.0	218.0	235.99999999999997	276.0	426.0	23.0	445.06984068173404	298.78011049723756	142.51740627289072	172.341368157686	159.9861948332669	73.04203539823008	132.27797378927647	213.5	315.54531979877834	302.88266854735036	205.33898588848152	240.0014975668949	36.84013863025036	376.62563096136785	70.0	92.80161943319838	70.82426127527216	184.47281717186635	4.5	53.414201183431956	119.0	132.53098927294397	13.0	114.64527503526092	259.3977695167286	659.6451937594363	21.0	561.7607047455465	343.2292194188219	38.0	174.0	260.0	0.0
PWY-7373	25.861818181818187	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.156626506024097	0.0	94.65377386756735	0.0	25.329999999999995	0.0	0.0	0.0	21.421543681085662	0.0	0.0	0.0	153.03182453547487	0.0	0.0	0.0	0.0	48.17357501448157	0.0	0.0	0.0	0.0	0.0	149.55331991951712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.043902439024397	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.827517748071315	0.0	0.0	0.0	0.0	57.46542056074767	144.46081877313856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.616792616792615	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7374	223.84044526901673	0.0	38.49999999999999	0.0	25.5	0.0	143.01438848920864	0.0	0.0	0.0	69.02654867256636	7.000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.146341463414632	36.554563602084954	0.0	55.79882177086082	0.0	0.0	0.0	0.0	8.391812865497077	0.0	0.0	0.0	0.0	168.09413027916963	109.10207939508507	48.26271186440678	0.0	288.016553291243	37.708280254777065	359.0351081837762	365.68732394366197	369.459234608985	131.0	255.5564581640942	444.99999999999994	271.2328767123288	253.02439024390242	344.2377495462795	107.5	288.85693745506825	170.08585499677733	575.5813953488373	230.63260324338077	134.3516657913365	290.7042601161944	0.0	156.52741514360312	191.316648531012	263.6194895591647	417.343976777939	23.0	187.6805534762613	143.9586858014978	87.08723332610623	60.25469707046009	149.20133034827646	28.66880861410212	89.70643097233769	169.85924112607097	199.42920982527835	128.56665494909083	82.52595589598585	142.45504493820573	23.28112523030282	329.82152202049076	57.913669064748206	86.49811320754716	18.008122705893847	103.59997780231939	4.5	0.0	104.30278884462152	54.58412045500711	0.0	100.32845235956337	0.0	622.0220054950379	0.0	515.5887938001763	267.5118135849807	0.0	122.636815920398	260.0	0.0
PWY-7376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	437.34558760006547	0.0	0.0	22.443782569510756	0.0	0.0	0.0	0.0	117.09457873746432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.82900127431857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7377	0.0	1004.85750725904	1289.661491133854	1539.2912472992682	1272.365648051471	1200.200236356579	0.0	1014.5212825207184	1853.776898617332	1973.567351542195	1362.3521940064038	0.0	925.9423219929416	1180.5816605038394	1649.1493030940153	2070.6425289837807	2466.4100805047888	824.5273586122888	1294.35444619779	723.4145584352124	864.8082459161574	1425.468978277387	1831.2881103595842	985.767207591667	2050.17081335668	1207.247636263904	1632.190472377331	1736.9104816946267	1585.244181043293	1467.3471545462928	1368.1998188116224	1233.3227833611156	1365.6739573010282	373.05327678033444	0.0	108.0538093249389	58.392866870085	110.79951205291682	141.79221980661785	382.3600731376472	0.0	0.0	111.02278620778694	0.0	0.0	0.0	39.20995927818456	0.0	91.64870326024418	0.0	106.14855734554577	73.36419134009829	128.79498657304754	48.677366041410316	42.8590676902486	788.7631562395453	0.0	0.0	0.0	25.974725119923313	0.0	774.9504416382138	246.97715981066804	410.33209935448286	488.492820227165	0.0	0.0	98.84394100028278	0.0	303.8887694052394	259.4481593185981	448.9627984519511	834.9778834726523	328.414140047375	23.174775620012966	0.0	100.53886007443054	219.59912522180124	555.9917395218552	73.85821819109252	51.24242904877531	225.79528633860383	247.04744996867626	1003.2803743228246	326.1398437967591	496.0136544848814	219.13326897906072	543.5593399430289	383.4818332386658	292.3315083522521	228.25573170568143	378.60315648321557	0.0	0.0
PWY-7391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.737346884941012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
