"Species","Family","Mean_SD","Mean","SD"
"Lion","Prevotellaceae","2.54 ± 2.3",2.54231485103707,2.29974211133573
"Lion","Streptococcaceae","2.37 ± 3.23",2.36959886559794,3.23459108601509
"Lion","Atopobiaceae","2.18 ± 2.35",2.18107383518721,2.34615189073854
"Lion","Coriobacteriaceae","1.71 ± 2.47",1.70694069694316,2.46930937994591
"Lion","Sutterellaceae","1.63 ± 1.77",1.63186726605083,1.77485275405402
"Lion","Eggerthellaceae","1.02 ± 1.08",1.02268911894305,1.08207357634845
"Spotted Hyaena","Lachnospiraceae","24.24 ± 7.01",24.240859129234,7.00505766887538
"Spotted Hyaena","Fusobacteriaceae","11.89 ± 13.12",11.891648947058,13.1247699009748
"Spotted Hyaena","Clostridia_UCG-014","11.18 ± 13.94",11.1775414067904,13.9444340455398
"Spotted Hyaena","Bacteroidaceae","6.68 ± 5.16",6.68060885032611,5.1572379743515
"Spotted Hyaena","Peptostreptococcaceae","5.88 ± 4.5",5.8811582209918,4.49636391775657
"Spotted Hyaena","Prevotellaceae","5.63 ± 5.3",5.63398921652435,5.30112028378902
"Spotted Hyaena","Clostridiaceae","5.39 ± 4.19",5.38616525091113,4.19011706691698
"Spotted Hyaena","Erysipelotrichaceae","4.86 ± 4.11",4.86227152289872,4.11347367926218
"Spotted Hyaena","Anaerovoracaceae","2.97 ± 2.99",2.96896303978394,2.98835171406094
"Spotted Hyaena","Family_XI","1.38 ± 1.87",1.37667798365171,1.87139003103558
"Spotted Hyaena","Acidaminococcaceae","1.26 ± 1.18",1.25826670451924,1.1822525122508
"Spotted Hyaena","Rikenellaceae","1.14 ± 2.35",1.1427012333851,2.35034693530663
"Spotted Hyaena","Acholeplasmataceae","1.11 ± 1.49",1.10891288783799,1.49446302378479
"Spotted Hyaena","Oscillospiraceae","1.02 ± 1.06",1.01856018602547,1.06069528584757
"Warthog","Lachnospiraceae","25.35 ± 7.43",25.3518595340617,7.42987057881978
"Warthog","Prevotellaceae","10.93 ± 2.92",10.9280529195726,2.92108935202274
"Warthog","p-251-o5","10.82 ± 2.77",10.8205955618683,2.77137820620073
"Warthog","Rikenellaceae","7.45 ± 3.7",7.45130570774117,3.7018335329063
"Warthog","Spirochaetaceae","7.07 ± 3.86",7.07275271057894,3.85554046403407
"Warthog","Acidaminococcaceae","5.52 ± 3.19",5.52099879234075,3.18588090910319
"Warthog","Oscillospiraceae","4.04 ± 2.23",4.04045402054343,2.22514649273884
"Warthog","Ruminococcaceae","3.62 ± 1.52",3.6211972972889,1.51680047413403
"Warthog","F082","3.09 ± 1.73",3.09457498796165,1.73255457229193
"Warthog","Anaerovoracaceae","2.72 ± 1.06",2.72095470438241,1.05536396980184
"Warthog","[Eubacterium]_coprostanoligenes_group","2.59 ± 1.31",2.59123328315363,1.30527390555201
"Warthog","Bacteroidales_RF16_group","2.56 ± 1.25",2.5635255318258,1.25249402523297
"Warthog","Christensenellaceae","2.44 ± 1.35",2.44423502401141,1.35257481854109
"Warthog","Muribaculaceae","1.46 ± 0.93",1.46420980494742,0.930076683200884
"Warthog","UCG-010","1.18 ± 1.03",1.18311022840259,1.02592805544738
"Warthog","Bacteroidales_BS11_gut_group","1.18 ± 0.92",1.178701159974,0.919907768934903
"White rhinoceros","Lachnospiraceae","19.22 ± 6.03",19.2204102384941,6.02704114187429
