"Diet_type","Family","Mean","SD","N","CI_lower","CI_upper"
"Ruminant","uncultured",4.60765840536011,2.62812204182817,21,3.48359204074922,5.73172476997099
"Ruminant","Ruminococcaceae",3.89358551425576,1.71482850518465,21,3.16014124756061,4.62702978095091
"Ruminant","Akkermansiaceae",2.17731207974144,1.9843844758581,21,1.32857682001337,3.02604733946951
"Ruminant","Acidaminococcaceae",2.14443175451768,1.30898815923851,21,1.58456827098995,2.70429523804541
"Ruminant","Spirochaetaceae",1.45918759391354,3.0011349546103,21,0.175580971220783,2.7427942166063
"Ruminant","Christensenellaceae",1.30803329058368,1.50218768627109,21,0.665537004416012,1.95052957675135
"Ruminant","Bacteroidales_RF16_group",1.22248190905473,1.43344593138874,21,0.609386957101292,1.83557686100816
"Ruminant","Muribaculaceae",1.1438352313699,0.957137657550432,21,0.734460693189596,1.55320976955021
"Ruminant","Anaerovoracaceae",1.06421278720176,1.52652156675014,21,0.41130872843768,1.71711684596583
"Ruminant","Saccharimonadaceae",1.04246739060526,1.56235976816413,21,0.37423507990445,1.71069970130606
"Ruminant","Clostridia_UCG-014",1.0382833625306,1.21853389676792,21,0.517107806108469,1.55945891895272
